text,translation
"[""Voi ch'ascoltate in rime sparse il suono di quei sospiri ond'io nudriva 'l core in sul mio primo giovenile errore quand'era in parte altr'uom da quel ch'i' sono,""]","['Voi che ascoltate in queste poesie il suono di quei sospiri con i quali io nutrivo il mio cuore al tempo del mio errore giovanile,']"
"[""del vario stile in ch'io piango et ragiono fra le vane speranze e 'l van dolore, ove sia chi per prova intenda amore, spero trovar pietà, nonché perdono.""]","[""quand'ero in parte un uomo diverso da quello che sono adesso, spero di trovare la compassione e il perdono tra coloro che capiscono l'amore perché lo hanno provato,""]"
"['Ma ben veggio or sí come al popol tutto favola fui gran tempo, onde sovente di me medesmo meco mi vergogno;']","['perdono dello stile diseguale nel quale io rifletto piangendo fra la vana speranza e il vano dolore. Ma io vedo bene adesso, come per molto tempo io fui canzonato da tutti,']"
"['et del mio vaneggiar vergogna è \'l frutto, e \'l pentersi, e \'l conoscer chiaramente che quanto piace al mondo è breve sogno. \']""']","['motivo per cui io spesso mi vergogno di me stesso; del mio innamoramento folle i frutti sono la vergogna, il pentimento e il riconoscere con chiarezza che tutto ciò che rende felice la vita in questo mondo è un breve sogno.']"
"[""Per fare una leggiadra sua vendetta et punire in un dí ben mille offese, celatamente Amor l'arco riprese, come huom ch'a nocer luogo et tempo aspetta.""]","[""Come colui che aspetta il momento e l'occasione giusta per nuocere, amore di nascosto riprese in mano l'arco, per vendicarsi amabilmente e punire in un sol colpo le mille offese a lui fatte.""]"
"[""Era la mia virtute al cor ristretta per far ivi et ne gli occhi sue difese, quando 'l colpo mortal là giú discese ove solea spuntarsi ogni saetta.""]","[""Io ero concentrato con tutta la mia forza di volontà a proteggere il cuore, e con esso gli occhi, quando il colpo mortale riuscì a cogliere il bersaglio, conficcandosi dove fin'ora ogni freccia aveva fallito.""]"
"[""Però, turbata nel primiero assalto, non ebbe tanto né vigor né spazio che potesse al bisogno prender l'arme,""]","['Perciò turbata al primo attacco, non ebbe la forza né il tempo necessario a prendere le armi per difendersi; oppure ritirarsi sulla rocca della saggezza,']"
"['overo al poggio faticoso et alto ritrarmi accortamente da lo strazio del quale oggi vorrebbe, et non pò, aitarme.']","['tanto alta quanto faticosa da raggiungere, ma protetta dallo strazio contro il quale oggi vorrei e non posso difendermi.']"
"[""Era il giorno ch'al sol si scoloraro per la pietà del suo factore i rai, quando i' fui preso, et non me ne guardai, ché i be' vostr'occhi, donna, mi legaro.""]",['Era il venerdì santo quando fui conquistato dai vostri occhi e mi legai a te.']
"[""Tempo non mi parea da far riparo contra colpi d'Amor: però m'andai secur, senza sospetto; onde i miei guai nel commune dolor s'incominciaro.""]","[""Non mi pareva il momento di difendermi dai colpi dell'amore, e per questo me ne andavo sicuro.""]"
