text,translation
"['«Rosa fresca aulentissima ch’apari inver’ la state,le donne ti disiano, pulzell’ e maritate:tràgemi d’este focora,']","['“Rosa fresca e profumatissima che appari all’inizio dell’estatele donne, giovani e maritate, ti desiderano :tirami fuori da questo fuoco,']"
"['se t’este a bolontate;per te non ajo abento notte e dia,penzando pur di voi, madonna mia».«Se di meve trabàgliti, follia lo ti fa fare.']","['se lo vuoi,notte e giorno non ho riposo per colpa tua,perché penso sempre a voi, madonna mia””Se soffri per me, è per follia.']"
"['Lo mar potresti arompere, a venti asemenare,l’abere d’esto secolo tutto quanto asembrare:avere me non pòteri a esto monno;']","['Puoi arare i mari, seminare i ventiraccogliere tutti i beni del mondoma non puoi avere me a questo mondo']"
"['avanti li cavelli m’aritonno».«Se li cavelli artónniti, avanti foss’io morto,ca’n issi si mi pèrdera lo solaccio e ’l diporto.']","['piuttosto mi taglio i capelli (e mi faccio monaca)””Se ti tagli i capelli (se ti fai monaca), piuttosto io muoio,perché con essi io perdo il mio conforto e piacere.']"
"['Quando ci passo e véjoti, rosa fresca de l’orto,bono conforto dónimi tuttore:']","['Quando passo da te e ti vedo, rosa fresca dell’orto,provo sempre piacere :']"
"['poniamo che s’ajúnga il nostro amore».«Che ’l nostro amore ajúngasi, non boglio m’atalenti:se ci ti trova pàremo cogli altri miei parenti,guarda non t’arigolgano questi forti correnti.']","['facciamo in modo di unire il nostro amore.”“Non voglio unire il nostro amore :se ti trova mio padre e gli altri miei parentiche corrono forte, fai in modo che non ti prendano']"
['Como ti seppe bona la venutaconsiglio che ti guardi a la partuta».'],"['se ti è piaciuto venire,ti consiglio di stare attento ad andartene.”']"
"['«Molte sono le femine c’hanno dura la testa,e l’omo con parabole l’adímina1 e amonesta:tanto intorno procazzala fin che·ll’ha in sua podesta.']","['”Ci sono molte femmine che hanno la testa dura,e l’uomo con le parole le domina e le ammonisce :tanto la insegue finché non l’ha in suo potere.']"
"['Femina d’omo non si può tenere:guàrdati, bella, pur de ripentere».']","['La femmina non può trattenersi di fronte all’uomo :stai attenta, bella, a non pentirtene”']"
"['«K’eo ne pur ripentésseme? davanti foss’io aucisaca nulla bona femina per me fosse ripresa!Aersera passàstici, correnno a la distesa.']","['”Che io me ne possa pentire ? Possa essere uccisapiuttosto che una donna debba essere incolpata per causa mia !Ieri sera sei passato di qui, correndo a più non posso.']"
"['Aquístati riposa, canzonieri:le tue parole a me non piaccion gueri».«Quante sono le schiantora che m’ha’ mise a lo core,e solo purpenzànnome la dia quanno vo fore!']","['Riposati, canzoniere :le tue parole non mi piacciono affatto””Quanti affanni mi hai messo nel cuore,sempre ci penso il giorno quando esco!']"
"['Femina d’esto secolo tanto non amai ancorequant’amo teve, rosa invidïata:ben credo che mi fosti distinata».']","['Non ho ancora amato una donna di questo mondoquanto amo te, rosa invidiata :io credo proprio che mi sei stata destinata”']"
"['«Poi tanto trabagliàstiti, faccioti meo pregheriche tu vadi adomànnimi a mia mare e a mon peri.']","['Visto che hai tanto faticato, ti faccio questa preghieravai a domandarmi a mia madre e a mio padre']"
"['Se dare mi ti degnano, menami a lo mosteri,e sposami davanti da la jente;']","['Se loro si degnano di darmi a te, portami in chiesa,e sposami davanti alla gente ;']"
"['e poi farò le tuo comannamente».«Di ciò che dici, vítama, neiente non ti bale,ca de le tuo parabole fatto n’ho ponti e scale.']","['e poi farò quello che vuoi”“Quello che dici non ti serve a nulla,delle tue parole faccio ponti e scale.']"
"['Penne penzasti mettere, sonti cadute l’ale;e dato t’ajo la bolta sottana.']",['Hai pensato di avere le penne e ti sono cadute le ali;ti ho messo sotto.']
"['Dunque, se poti, tèniti villana».«En paura non mettermi di nullo manganiello:istòmi ’n esta grorïa d’esto forte castiello;prezzo le tuo parabole meno che d’un zitello.']","['Dunque, se puoi, trattieniti femmina villana.“Non ho paura di teme ne sto nella fortezza del mio castello;le tue parole per me valgono meno di quelle di un bambino.']"
"['Se tu no levi e va’tine di quaci,se tu ci fosse morto, ben mi chiaci».']","['Se non ti alzi e te ne vai via di qui,se tu morissi, mi piacerebbe molto”']"
"['«Dunque vorresti, vítama, ca per te fosse strutto?Se morto essere débboci od intagliato tutto,']","['“Dunque vorresti, vita mia, che io morissi per te ?Se devo morire o essere ferito,']"
['di quaci non mi mòssera se non ai’ de lo fruttolo quale stäo ne lo tuo jardino:disïolo la sera e lo matino».'],['non mi muovo di qui se non ho il fruttoche sta nel tuo giardino :lo desidero la sera e il mattino”']
"['«Se tu no levi e va’tine co la maladizione,li frati miei ti trovano dentro chissa magione.']","['“Se non ti alzi e te ne vai alla malora,i miei fratelli ti trovano dentro questa casa.']"
"['bello mi soffero pèrdici la persone,ca meve se’ venuto a sormonare;parente néd amico non t’ha aitare».']","['che mi sei venuto a prendere in giro,nessun parente o amico ti aiuterà”']"
"['«A meve non aítano amici né parenti:istrani’ mi so’, càrama, enfra esta bona jente.Or fa un anno, vítama, che ’ntrata mi se’ [‘n] mente.Di canno ti vististi lo maiuto,bella, da quello jorno so’ feruto».']","['“A me non mi aiutano né amici né parentisono straniero, cara mia, tra questa brava gente.È un anno ormai, vita mia, che mi sei entrata nella mente.Da quando ti sei vestita con il “maiuto”,bella, da quel giorno sono ferito”']"
"['«Di tanno ’namoràstiti,tu Iuda lo traíto,como se fosse porpore, iscarlato o sciamito?S’a le Va[n]gele júrimi che mi sï’ a marito,avere me non pòter’a esto monno:avanti in mare jíttomi al perfonno».']","['“Ti sei tanto innamorato, Giuda traditore,come se fossi porpora, scarlatto o sciamito ?Se non giuri sul Vangelo che sei mio marito,non mi puoi avere a questo mondo,piuttosto mi butto in fondo al mare.”']"
"['«Se tu nel mare gíttiti, donna cortese e fina,dereto mi ti mísera per tutta la marina,e da poi c’anegàsseti, trobàrati a la renasolo per questa cosa adimpretare:conteco m’ajo aggiungere a peccare».']","['“se ti butti in mare, donna cortese e bella,mi metto dietro a te per tutta la marina,e dopo che sei annegata, ti trovo sulla spiaggiasolo per ottenere questa cosa :con te mi unirò per peccare”']"
"['«Segnomi in Patre e ’n Filio ed in santo Matteo:so ca non se’ tu retico o figlio di giudeo,e cotale parabole non udi’ dire anch’eo.Morta si è la femina a lo ’ntutto,pèrdeci lo saboro e lo disdotto».']","['“In nome del Padre del Figlio e di San Matteoso che non sei eretico o ebreo,e parole così non le ho mai sentite.Se la femmina è morta,ci perdi il sapore e il piacere”']"
"['«Bene lo saccio, càrama: altro non pozzo fare.Se quisso non arcòmplimi, làssone lo cantare.Fallo, mia donna, plàzzati, ché bene lo puoi fare.Ancora tu no m’ami, molto t’amo,sí m’hai preso come lo pesce a l’amo».']","['“Lo so bene, cara mia : ma non posso fare altrimenti.Se non mi accontenti, lasciami cantare.Fallo, donna mia, ti piacerà, perché lo puoi fare bene.Tu ancora non mi ami, io molto ti amo,così mi hai preso come un pesce all’amo”']"
"['«Sazzo che m’ami, e àmoti di core paladino.Lèvati suso e vatene, tornaci a lo matino.Se ciò che dico fàcemi, di bon cor t’amo e fino.Quisso t’ad imprometto sanza faglia:te’ la mia fede che m’hai in tua baglia».']","['“Lo so che mi ami, ti amo con il cuore generoso.Su alzati e vattene, torna qui domattina.Se fai quello che ti dico, ti amo con cuore buono e puro.Questo te lo prometto senza fallo :abbia la mia fede che sono in tuo potere”']"
"['«Per zo che dici, càrama, neiente non mi movo.Intanti prenni e scànnami: tolli esto cortel novo.Esto fatto far pòtesi intanti scalfi un uovo.Arcompli mi’ talento, amica bella,ché l’arma co lo core mi si ’nfella».']","['“Per quello che mi dici, cara mia, non mi muovo affatto.Intanto prendi e scannami : ecco questo coltello nuovo,puoi farlo mentre cuoci un uovo.Fai quello che desidero, amica bella,perché l’arma insieme con il cuore mi diviene amara”']"
"['«Ben sazzo, l’arma dòleti, com’omo ch’ave arsura.Esto fatto non pòtesi per null’altra misura:se non ha’ le Vangeli e, che mo ti dico ’Jura’,avere me non puoi in tua podesta;intanti pren[n]i e tagliami la testa».']","['“So bene che l’arma ti fa male, come un uomo che ha sete.Questo non si può fare in nessun altro modo :se non hai i Vangeli, su cui ora ti dico “Giura”,non mi puoi avere ;intanto prendimi e tagliami la testa”']"
"['«Le Vangeli e, càrama? ch’io le porto in seno:a lo mostero présile (non ci era lo patrino).Sovr’esto libro júroti mai non ti vegno meno.Arcompli mi’ talento in caritate,ché l’arma me ne sta in suttilitate».']","['“I Vangeli, cara mia ? Li porto in petto :li ho presi in chiesa (il prete non c’era).Su questo libro ti giuro che non ti tradirò.Ti prego accontentami ;perché l’arma mi si assottiglia”']"
"['«Meo sire, poi juràstimi, eo tutta quanta incenno.Sono a la tua presenz[ï]a, da voi non mi difenno.S’eo minespreso8 àjoti, merzé, a voi m’arenno.A lo letto ne gimo a la bon’ora,ché chissa cosa n’è data in ventura».']","['“Mio signore, dopo che hai giurato, mi incendio tutta.Sono qui davanti a te, non mi difendo.Se ti ho disprezzato, perdono, mi arrendo.Andiamo finalmente al letto,perché così è stabilito che sia.”']"
