text,translation
"['La mia malinconia è tanta e tale,ch’i’ non discredo che, s’egli ’l sapesseun che mi fosse nemico mortale,che di me di pietade non piangesse.']","['La mia malinconia è così grande e grave,che credo che, se la conoscesseuno, che fosse mio nemico mortale,avrebbe pietà di me.']"
"['Quella, per cu’ m’avven, poco ne cale;che mi potrebbe, sed ella volesse,guarir ’n un punto di tutto ’l mie male,sed ella pur: – I’ t’odio – mi dicesse.']","['Quella, che me la provoca, non se ne cura;se lo volesse, mi potrebbeguarire in un momento di tutto il mio malese soltanto mi dicesse “ti odio”.']"
"['Ma quest’è la risposta c’ho da lei:ched ella non mi vol né mal né bene,e ched i’ vad’a far li fatti mei;']","['Ma la risposta che ho da lei è:che non mi vuole né bene né male,e che io vada a fare i fatti miei;']"
"['ch’ella non cura s’i’ ho gioi’ o pene,men ch’una paglia che le va tra’ piei:mal grado n’abbi Amor, ch’a le’ mi diène.']","['che ella non si cura se ho gioie o pene,più di un filo di paglia che le vada tra i piedi:maledetto sia Amore, che a lei mi diede.']"
"['Tre cose solamente m’ènno in grado,le quali posso non ben ben fornire:cioè la donna, la taverna e ’l dado;queste mi fanno ’l cuor lieto sentire.']","['Tre cose solamente mi piacciono,che però non posso avere come mi piacerebbe:cioè la donna, il cibo e il gioco ;queste mi fanno essere felice.']"
"['Ma sì me le convene usar di rado,ché la mie borsa mi mett’al mentire;e quando mi sovvien, tutto mi sbrado,ch’i’ perdo per moneta ’l mie disire.']","['Ma le devo usare raramente,perché non ho denari nella borsa;e quando penso a ciò, mi viene una rabbia da urlare,perché per colpa dei soldi non posso soddisfare i miei desideri.']"
"['E dico: – Dato li sia d’una lancia!-Ciò a mi’ padre, che mi tien sì magro,che tornare’ senza logro di Francia.']","['E dico : – Che gli venga un colpo!-Questo a mio padre, che mi tiene così a stecchetto,che non tornerei più magro da un viaggio in Francia.']"
"['Ché fora a torli un dinaro più agro,la man di pasqua che si dà la mancia,che far pigliar la gru ad un bozzagro.']","['Perché sarebbe più difficile tirargli fuori un soldo,la mattina di pasqua quando si dà la mancia,che far prendere a una poiana una gru.']"
"['Dante Alighier, Cecco, tu’ serv’amico,si raccomand’a te com’a segnore;e sì ti prego per lo dio d’Amore,il qual è stat’un tu’ signor antico,']","['Dante Alighieri, Cecco, tuo servo e amico,si raccomanda a te come al proprio signore ;e così ti prego per il dio Amore,che è stato un tuo antico signore,']"
"['che mi perdoni s’i’ spiacer ti dico,ché mi dà sicurtà ’l tu’ gentil cuore;quel ch’i’ vo dire è di questo tenore:ch’al tu’ sonetto in parte contraddico.']","['che tu mi perdoni se una cosa spiacevole cosa ti dico,ma il tuo cuore gentile mi rassicura :quello che voglio dire è questo :il tuo sonetto in una sua parte contraddico.']"
"['Ch’al meo parer nell’una muta diceche non intendi su’ sottil parlare,di que’ che vide la tua Beatrice;']",['Infatti secondo me in una terzina diceche tu non intendi le parole difficilidi quello* che vide la tua Beatrice ;']
"['e puoi hai detto a le tue donne careche be lo ’ntendi: e dunque, contradicea sé medesmo questo tu’ trovare.']",['e poi dici alle tue care donneche bene lo intendi ; e dunque contraddicea sé stessa questa tua poesia.']
