text,translation
"['La mia malinconia è tanta e tale']", "['La mia malinconia è così grande e grave,']"
"['ch’i’ non discredo che, s’egli ’l sapesse']", "['che credo che, se la conoscesse']"
"['un che mi fosse nemico mortale,']", "['uno, che fosse mio nemico mortale,']"
"['che di me di pietade non piangesse.']", "['avrebbe pietà di me.']"
"['Quella, per cu’ m’avven, poco ne cale;']", "['Quella, che me la provoca, non se ne cura;']"
"['che mi potrebbe, sed ella volesse,']", "['se lo volesse, mi potrebbe']"
"['guarir ’n un punto di tutto ’l mie male,']", "['guarire in un momento di tutto il mio male']"
"['sed ella pur: – I’ t’odio – mi dicesse.']", "['se soltanto mi dicesse “ti odio”.']"
"['Ma quest’è la risposta c’ho da lei:']", "['Ma questa è la risposta che ho da lei:']"
"['ched ella non mi vol né mal né bene,']", "['che non mi vuole né bene né male,']"
"['e ched i’ vad’a far li fatti mei;']", "['e che io vada a fare i fatti miei;']"
"['ch’ella non cura s’i’ ho gioi’ o pene,']", "['che ella non si cura se ho gioie o pene,']"
"['men ch’una paglia che le va tra’ piei:']", "['più di un filo di paglia che le vada tra i piedi:']"
"['mal grado n’abbi Amor, ch’a le’ mi diène']", "['maledetto sia Amore, che a lei mi diede.']"
