text,translation
"['Per correr miglior acque alza le veleomai la navicella del mio ingegno,che lascia dietro a sé mar sì crudele;']","[""La navicella del mio ingegno, ormai, alza le vele per percorrere acque migliori e lascia dietro di sé il mare crudele dell'Inferno;""]"
['e canterò di quel secondo regnodove l’umano spirito si purgae di salire al ciel diventa degno.'],"[""e io canterò di quel secondo regno (Purgatorio) in cui l'anima umana si purifica e diventa degna di salire al cielo.""]"
"['Ma qui la morta poesì resurga,o sante Muse, poi che vostro sono;e qui Caliopè alquanto surga,seguitando il mio canto con quel suonodi cui le Piche misere sentirolo colpo tal, che disperar perdono.']","['Ma qui la poesia morta risorga, o sante Muse, dal momento che sono consacrato a voi; e qui si sollevi alquanto Calliope, assistendo il mio canto con quel suono di cui le misere gazze (le figlie di Pierio) sentirono un tale colpo che disperarono di essere perdonate.']"
"['Dolce color d’oriental zaffiro,che s’accoglieva nel sereno aspettodel mezzo, puro infino al primo giro,a li occhi miei ricominciò diletto,tosto ch’io usci’ fuor de l’aura mortache m’avea contristati li occhi e ‘l petto.']","[""Un dolce colore di zaffiro orientale, che si raccoglieva nell'aspetto sereno dell'aria pura fino all'orizzonte, restituì gioia ai miei occhi non appena io uscii fuori dall'aria morta (dell'Inferno), che mi aveva rattristato gli occhi e il cuore.""]"
"['Lo bel pianeto che d’amar confortafaceva tutto rider l’oriente,velando i Pesci ch’erano in sua scorta.']","[""Il bel pianeta (Venere) che spinge ad amare illuminava gioiosamente tutto l'oriente, offuscando con la sua luce la costellazione dei Pesci che lo seguiva.""]"
"['I’ mi volsi a man destra, e puosi mentea l’altro polo, e vidi quattro stellenon viste mai fuor ch’a la prima gente.']","['Io mi rivolsi alla mia destra e osservai il cielo australe, vedendo quattro stelle che nessuno ha mai visto eccetto i primi progenitori (Adamo ed Eva).']"
"['Goder pareva ‘l ciel di lor fiammelle:oh settentrional vedovo sito,poi che privato se’ di mirar quelle!']","['Il cielo sembrava godere della loro luce: o emisfero boreale, sei davvero desolato non potendo ammirare quelle stelle!']"
"['Com’io da loro sguardo fui partito,un poco me volgendo a l ‘altro polo,là onde il Carro già era sparito,']","[""Non appena ebbi distolto il mio sguardo da esse, volgendomi un poco al cielo boreale da dove ormai l'Orsa Maggiore era tramontata,""]"
"['vidi presso di me un veglio solo,degno di tanta reverenza in vista,che più non dee a padre alcun figliuolo.']","['vidi accanto a me un vecchio solitario, che a guardarlo ispirava tanto rispetto quanto è quello che un figlio deve al proprio padre.']"
"['Lunga la barba e di pel bianco mistaportava, a’ suoi capelli simigliante,de’ quai cadeva al petto doppia lista.']","['Portava la barba lunga e con peli bianchi e neri, simile ai suoi capelli, dei quali ricadevano sul petto due lunghe trecce.']"
"['Li raggi de le quattro luci santefregiavan sì la sua faccia di lume,ch’i’ ’l vedea come ’l sol fosse davante.']","['La luce delle quattro stelle sante illuminava il suo volto, al punto che io lo vedevo come se avesse avuto il sole di fronte.']"
"['«Chi siete voi che contro al cieco fiumefuggita avete la pregione etterna?»,diss’el, movendo quelle oneste piume.']","['Egli ci disse, muovendo quella barba dignitosa: «Chi siete voi, che risalendo il fiume sotterraneo siete fuggiti dalla prigione eterna?']"
"['«Chi v’ha guidati, o che vi fu lucerna,uscendo fuor de la profonda notteche sempre nera fa la valle inferna?']","['Chi vi ha guidati e cosa vi ha indicato la strada, uscendo fuori dalla notte profonda che rende sempre oscura la voragine infernale?']"
"['Son le leggi d’abisso così rotte?o è mutato in ciel novo consiglio,che, dannati, venite a le mie grotte?».']","[""Le leggi dell'abisso sono così prive di valore? o in Cielo è stata emanata una nuova legge in base alla quale voi, dannati, venite alle rocce (al Purgatorio) che io custodisco?»""]"
"['Lo duca mio allor mi diè di piglio,e con parole e con mani e con cennireverenti mi fé le gambe e ‘l ciglio.']","['Allora il mio maestro mi afferrò, e con le parole, con le mani e coi gesti mi indusse a inginocchiarmi e abbassare lo sguardo.']"
"['Poscia rispuose lui: «Da me non venni:donna scese del ciel, per li cui prieghide la mia compagnia costui sovvenni.']","['Poi gli rispose: «Non sono venuto qui di mia iniziativa: scese dal Cielo una donna (Beatrice), per le cui preghiere aiutai costui con la mia assistenza.']"
"['Ma da ch’è tuo voler che più si spieghidi nostra condizion com’ell’è vera,esser non puote il mio che a te si nieghi.']","['Ma poiché il tuo desiderio è che ti spieghiamo con maggiori dettagli la nostra condizione, non è possibile che il mio desiderio sia difforme dal tuo.']"
"['Questi non vide mai l’ultima sera;ma per la sua follia le fu sì presso,che molto poco tempo a volger era.']","['Questi non è mai morto, ma per il suo peccato fu così vicino ad esserlo che non sarebbe passato molto tempo.']"
"['Sì com’io dissi, fui mandato ad essoper lui campare; e non lì era altra viache questa per la quale i’ mi son messo.']","[""Come ti ho detto, fui inviato a soccorrerlo; e non c'era altra strada se non questa per la quale mi sono inoltrato con lui.""]"
