text,translation
"['Nel mezzo del cammin di nostra vitami ritrovai per una selva oscura,ché la diritta via era smarrita.']","['A metà del percorso della vita umana, mi ritrovai per una oscura foresta, poiché avevo smarrito la giusta strada.']"
['Ahi quanto a dir qual era è cosa duraesta selva selvaggia e aspra e forteche nel pensier rinova la paura!'],"[""Ahimè, è difficile descrivere com'era quella foresta, selvaggia, inestricabile e tremenda, tale che al solo pensiero fa tornare la paura.""]"
"['Tant’è amara che poco è più morte;ma per trattar del ben ch’i’ vi trovai,dirò de l’altre cose ch’i’ v’ho scorte.']","['È così spaventosa che la morte lo è poco di più: ma per descrivere il bene che vi trovai dentro, dirò quali altre cose ho visto in essa.']"
"['Io non so ben ridir com’i’ v’intrai,tant’era pien di sonno a quel puntoche la verace via abbandonai.']","['Non sono in grado di spiegare come vi sia entrato, tanto ero pieno di sonno nel momento in cui lasciai la giusta strada.']"
"['Ma poi ch’i’ fui al piè d’un colle giunto,là dove terminava quella valleche m’avea di paura il cor compunto,guardai in alto e vidi le sue spallevestite già de’ raggi del pianetache mena dritto altrui per ogne calle.']","['Ma dopo che fui arrivato ai piedi di un colle, là dove finiva quella valle che mi aveva rattristato il cuore di paura, alzai lo sguardo e vidi la sua vetta già illuminata dai raggi del sole, che conduce ogni uomo sulla giusta strada.']"
"['Allor fu la paura un poco queta,che nel lago del cor m’era duratala notte ch’i’ passai con tanta pieta.']","['Allora si placò un poco la paura che avevo avuto nel profondo del cuore, quella notte che trascorsi con tanta angoscia.']"
"['E come quei che con lena affannata,uscito fuor del pelago a la riva,si volge a l’acqua perigliosa e guata,così l’animo mio ch’ancor fuggiva,si volse a retro a rimirar lo passoche non lasciò già mai persona viva.']","['E come il naufrago che col respiro affannoso, gettato dal mare sulla riva, si volta e guarda alle acque pericolose da cui è scampato, così il mio animo, che ancora era in fuga, si voltò indietro ad osservare il passaggio che non lasciò mai passar vivo nessun uomo.']"
"['Poi ch’èi posato un poco il corpo lasso,ripresi via per la piaggia diserta,sì che ’l piè fermo era sempre ’l più basso.']","['Dopo che ebbi riposato un poco il corpo stanco, ripresi a camminare lungo il pendio deserto del colle, in modo tale che il piede più saldo era sempre quello più basso.']"
"['Ed ecco, quasi al cominciar de l’erta,una lonza leggiera e presta molto,che di pel macolato era coverta;e non mi si partia dinanzi al volto,anzi ’mpediva tanto il mio cammino,ch’i’ fui per ritornar più volte vòlto.']","[""Ed ecco che apparve, quasi all'inizio della salita, una lonza snella e molto agile, ricoperta di pelo maculato; e non si allontanava di fronte a me, anzi, impediva a tal punto il mio cammino che io pensai più volte di tornare indietro.""]"
"['Temp’era dal principio del mattino,e ’l sol montava ’n sù con quelle stellech’eran con lui quando l’amor divinomosse di prima quelle cose belle;sì ch’a bene sperar m’era cagionedi quella fiera a la gaetta pellel’ora del tempo e la dolce stagione;ma non sì che paura non mi dessela vista che m’apparve d’un leone.']","[""Erano le prime ore del mattino, e il sole stava sorgendo insieme a quella costellazione che era con lui il giorno della Creazione, quando l'amore divino mosse per la prima volta quelle belle cose; così l'ora del giorno e la stagione primaverile mi davano buoni motivi per sperare bene a proposito di quella belva dalla pelle chiazzata; ma non al punto che non mi desse paura la vista, che mi apparve subito dopo, di un leone.""]"
"['Questi parea che contra me venissecon la test’alta e con rabbiosa fame,sì che parea che l’aere ne tremesse.']","[""Questi sembrava venire contro di me, con la testa alta e con fame rabbiosa, al punto che persino l'aria sembrava tremare.""]"
