text,translation
"['Altissimu, onnipotente, bon Signore, tue so’ le laude, la gloria e l’honore et onne benedictione.']","['A te Signore che sei altissimo, onnipotente, buono, appartengono tutte le lodi, le glorificazioni, gli onori e ogni benedizione.']"
"['Ad te solo, Altissimo, se konfano, et nullu homo ène dignu te mentovare.']","['A te solo, altissimo si addicono e nessun uomo è degno di menzionare il tuo nome.']"
"['Laudato sie, mi’ Signore, cum tucte le tue creature, spetialmente messor lo frate sole, lo qual è iorno, et allumini noi per lui.']","['Sii tu lodato, mio Signore, così come tutte le tue creature, specialmente messer sole, nostro fratello, il quale è la luce del giorno, e tu ci illumini grazie a lui.']"
"['Et ellu è bellu e radiante cum grande splendore: de te, Altissimo, porta significatione.']","['Ed è bello e fonte di raggi di luce di grande splendore, è simbolo di te, o Altissimo.']"
"['Laudato si’, mi’ Signore, per sora luna e le stelle: in celu l’ài formate clarite et pretiose et belle.']","['Sii tu lodato, mio Signore per aver creato sorella luna e le stelle: in cielo le hai create luminose, preziose e belle.']"
"['Laudato si’, mi’ Signore, per frate vento et per aere et nubilo et sereno et onne tempo, per lo quale a le tue creature dài sustentamento.']","['Sii tu lodato, mio Signore, per aver creato fratello vento e l’aria, il tempo nuvoloso, il sereno ed ogni variazione atmosferica per mezzo delle quali rendi possibile la vita di tutte le tue creature.']"
"['Laudato si’, mi’ Signore, per sor’aqua, la quale è multo utile et humile et pretiosa et casta.']","['Sii tu lodato, mio Signore, per aver creato sorella acqua, che è molto utile, umile e pura.']"
"['Laudato si’, mi’ Signore, per frate focu, per lo quale ennallumini la nocte: ed ello è bello et iocundo et robustoso et forte.']","['Sii tu lodato, mio Signore, per aver creato fratello fuoco, per mezzo del quale ci illumini la notte: ed è bello, gioioso, robusto e forte.']"
"['Laudato si’, mi’ Signore, per sora nostra matre terra, la quale ne sustenta et governa, et produce diversi fructi con coloriti flori et herba.']","['Sii tu lodato, mio Signore, per aver creato nostra madre terra, che ci sostenta e ci accudisce e produce diversi frutti con fiori variopinti ed erba.']"
"['Laudato si’, mi’ Signore, per quelli ke perdonano per lo tuo amore et sostengo infirmitate et tribulatione.']","['Sii tu lodato, mio Signore, per aver creato uomini che perdonano in nome del tuo amore e altri che sopportano malattie e sofferenze.']"
"['Beati quelli ke ‘l sosterrano in pace, ka da te, Altissimo, sirano incoronati.']","['Beati quelli che le sopporteranno serenamente poiché da te Altissimo saranno incoronati.']"
"['Laudato si’, mi’ Signore, per sora nostra morte corporale, da la quale nullu homo vivente pò skappare: guai a·cquelli ke morrano ne le peccata mortali; beati quelli ke trovarà ne le tue sanctissime voluntati, ka la morte secunda no ‘l farrà male.']","['Sii tu lodato, mio Signore, per aver creato la morte fisica a cui nessun essere vivente può sottrarsi: guai a coloro che moriranno nel peccato mortale; beati quelli che troverà in grazia di Dio, poiché ad essi la seconda morte non gli farà alcun male.']"
"['Laudate e benedicete mi’ Signore et rengratiate e serviateli cum grande humilitate.']","['Lodate e benedicete il mio Signore e ringraziatelo e servitelo con grande umiltà.']"
