Author,Date,Region,Sentence,generated_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene perché etc. Ma dall'altra parte Aiaco era un cavaliere francese e valoroso nell'arme, di grande statura, ma non pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele come dice la legge, prendi vendetta di tutte le colpe, salvo a chiunque cavaliere pecci."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, non fu arricchito di altro tipo di forza che quello dell'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se mi piace a tutti e se Pompeo è necessario per il tempo come cavaliere e non come compagno, non mi sorprenderò più degli eventi."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che l'obiettivo di questa arte sia dire appositamente per far credere, il fine è far credere attraverso la parola."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Qui vediamo ventipiù ventagli larghi uscire dalle nebbie determinate; e potresti pensare che il cielo intero cadesse nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi potrebbe sperare che quelli che ancora non vogliono credere in Cristo ci seguano, ora li vediamo con noi, e perché non possono negarlo, si lanciano contro di noi con i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I raccolti dei morti e la pressione dei vivi fecero il tranello di un crudele re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quello, il quale ora per le sue grandi virtù è fiero e onorevole, sia tormentato e afflitto da ogni male a causa della impietas verso mio padre.
Note: ""impetus"" in testo antico è tradotto come ""virtù"" in italiano moderno per mantenere il significato di forze che spingono in una direzione. ""Impietas"" è"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Spesso gli uomini incontrano la verità invece che restare fermi in una menzogna.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si tenne per ultimo a parlare con cautela."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"cose che sapevo essere fatte in Italia.
Note: L'espressione ""cose ch'io sapeva"" è stata tradotta come ""cose che sapevo"", mantenendo la stessa struttura sintattica."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Il nipote di Corbio, discendente di Ortensio, condusse la sua vita in un livello più basso e più vizioso."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Inoltre un amante, chiamando grazia alla sua donna, le dice parole e ragioni molte, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo che una volta, arrabbiato, l'hai scosso la mia donna. Ohi, quanti giorni questa rabbia mi tolse!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"l'uomo del cui amore tu ti stavi dolcemente lamentando perché era amante di tua moglie;
or, more literally: the man whose love you were sweetly lamenting because he was in love with your wife."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi di coloro che facevano parte della congiura, perché la donna non nominava ancora i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Siete cretesi? Sì, quando si mosse [egli] mi disse: ""O fedele mia donna, fai che in mio luogo ti sia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milano, la malvagità di una donna fu repressa con una simile bugia, allo stesso tempo di questo signore della repubblica, in modo seguente: 
Note: ""bugia"" in questo contesto significa ""inganno"" o ""truffa"". ""Signore della repubblica"" si riferisce all'autorità politica più alta in Milano all'epoca."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Lamentavansi per l'iniquità di Appio e piangevano la bellissima fanciulla e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, infatti, ero sempre disposto a ragionare di pace, ma mi rendevo conto che non solo la pace era offesa."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda talvolta fa timore per la grande importanza, e la prima per il coraggio fa matto qualcuno."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andai nel campo dei Cartaginesi e la legione intera mi seguitò.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle riconoscere come nemico. Questa è quella che ha dato forza al profeta Nathan per riprendere con grande autorità quel re, il quale aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Con le armi e passando tra i nemici, pertanto, se alcuno non avesse avuto coraggio di questo e avesse avuto quel animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Perché Giobbe è interpretato con dolore;
Note: ""Iob"" è la traduzione moderna di ""Job"" in italiano antico."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Chi sopra tutti gli altri perdonasse ai cittadini e in cui potete più sicuramente credere, è quello a cui dovete recarvi. Infine, egli è il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","inutile chiedere a chi scrisse questo Libro, in quanto non debba considerarsi con certezza che l'Autore sia stato lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così comune, sarebbe certamente più incredibile: certo è più facile credere quello, poichè l'umano spirito al divino si è accostato, e il mutabile all'incommutabile
Traduzione letterale: Se non fosse così frequente, sarebbe certamente più incredibile: certo è più facile credere quello, poichè l'umano spir"
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ricevessero il pagamento dal camarlingo per la loro spesa e andassero in seguito alla presenza di monsignor il papa per contrastare la marcia dei cavalieri che venivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Tesio guardò Achelo con grande stupore e disse: ""Signor Achelo, per favore, ditemi come perdereste in questo modo?"""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di far arrivare presto a voi Timoteo, in modo che io possa avere un buon cuore riguardo a questi affari."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza errore, il selvaggio suino si avanza di fronte all'uomo per udire, e il lupo cervo è per chi vede."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,si mandano lanci a un luogo; quel che fanno i cavalieri lo chiamano testa di maiale.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"lascia tendere le reti agli capri e sa bene in quale valle viva il furioso maiale per inghiottirlo.
In modern Italian, the phrase would be: ""Lascia tenerle reti agli capri e sa bene in quale valle viva il maiale furioso per inghiottirlo."""
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora tuerai spaventati da quei cervi infidi con paure diverse e varie, oppure il maiale scavare la testa in terra con il collo fissato sulle spalle."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Se stai discutendo la natura delle cose incorporee, che non possono interagire tra di loro come corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, attraverso il quale vengono dispiegati e giudicati tutte le cose."
