Author,Date,Region,Sentence,generated_translation
Brunetto Latini,1260-61,fior.,quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme,quella guerra fatta bene perché ecc. E d'altra parte Aiaces fu un cavaliere franco e bravo ad usare le armi, ma non era pieno di grande saggezza., ma non era pieno di grande saggezza., ma non era pieno di grande senno, di gran guisa, ma non era pieno di grande senno","quella guerra fatta bene perché ecc. E d'altra parte Aiaces fu un cavaliere franco e bravo ad usare le armi, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","e vendichi ogni colpa, come dice la legge, e non perdoni nessun cavaliere che commetta un peccato."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu dotato di altra forza di spirito Ponzio Ufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno,Se questo piacerà a tutti e se il tempo ha bisogno di avere Pompei come cavaliere e non come compagno, non ritroverò più le mie fatiche.,"Se questo piacerà a tutti e se il tempo ha bisogno di avere Pompei come cavaliere e non come compagno, non ritroverò più le mie fatiche."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che l'ufficio di questa arte sia dire appositamente per far credere, il fine è far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco come scendono le nuvolose e le lunghe venti di pioggia; e potresti credere che tutto il Cielo cadesse in mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chiunque sperasse in ciò che spinge, questi che non desiderano ancora credere in Cristo, lo vedono con noi e, poiché non lo possono denegare, fanno urlare i colli dei denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi fecero ingannare un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quell'uomo, che ora è feroce e onorevole per le sue grandi potenze, è afflito e tormentato da ogni male che può subire l'impiegatura di mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Spesso gli uomini, dopo essere fermi nella menzogna, incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò studiosamente a parlare con l'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo fossero fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortenzio, trascorse la sua vita più bassa e viziosa ."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altrasse un amante chiamando la sua donna merzese dice parole e ragioni molteplici, e lei difende la sua voce."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (cfr. 347) che quando ero infuriato fuggivo la mia donna. Oh, come mi liberò questa rabbia!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"colui di cui tu soffrivi , che era amante della tua donna;"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro della cospirazione, poiché la donna non aveva già indicato i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo, quando si muovono, ti dice: ""O donna fedele mia, fa' in modo di incaricare il nostro ospite troiano al mio posto""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ricoperta la malvagità di una donna con una menzogna simile, nello stesso tempo di questo signore della Repubblica, in questo modo: "
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si lamentarono dell'ingiustizia di Appio, e riconobbero la miserabile bellezza della pollice e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In questa battaglia, certo, ho sempre avuto il desiderio di ragionare sulla pace e mi sono sempre accorto che non solo la pace era disastrosa,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","Il secondo solo a volte fa paura per la grande provvidenza, e il primo solo per la sua ardente volontà di far impazzire gli altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la sua legione trasse a secco.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Questa è quella che fece incitare il profeta Natan a riprendere con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","le armi e insieme con loro passavano tra i nemici, quindi se qualcuno non si ardesse di fronte a questo, avrebbero avuto questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato male;
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che, in nome di tutti gli altri, perdonava i suoi cittadini, e in cui si può più con certezza credere; poi fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vanità si chiedono chi ha scritto questo Libro, cosicché si deve credere fedelmente che l'Autore di questo Libro sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse molto usato, questo sembrerebbe molto più incredibile: certamente è più facile credere a ciò, poiché lo spirito umano è divino, e l'immutabile è immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"che prendessero la paga del camerlingo per la loro dispensa e il loro impegno, andassero in presenza di messer del papa per contrastare il passaggio dei cavalieri che venivano da Cecilia in Toscana."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Tesesi guardò Achelao con grande meraviglia e disse così: ""O signore Achelao, ti prego di dirmi come hai perso la tua vita."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero in nome di Gesù di mandare subito a voi Timoteo, perché io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Che faccia così il porco selvaggio avanza l'uomo che udisce e il lupo cerviero che vede
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,In un luogo si inviano lancioni; cosa che i cavalieri chiamano capo porco .
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Attira le sue reti ai cervi e sa bene in quali valli abita il porco cinghiare furioso.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i tuoi desideri cervi con diversi e diversi paure, o il porco inghiare si inclinerà sulla terra con un collo spietato."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose incorporali che non convergono tra i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per il quale si dispensano e giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, parlando di loro, dicono le loro virtù e raccontano favolosamente i loro difetti, quando una donna passava l'ordine al loro deputato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, che è diretta e onesta, e con la sua virtù, credo di essere l'unica cosa giusta."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invelenzavano un romano di giorno, allora era meraviglioso vedere come i Psille combattevano con il veleno, poiché essi imolevano ogni cosa con la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando fai gli occhi rivolti verso l'indietro o al culo o altrimenti"
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma anche se questo fu colpa tua, nonostante tu volesse provare a vedere con occhi fisici la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché sei mio servo, o perché è tempo di ferire, o perché non ti devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Così va bene che le desse una grande potenza perché le lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un notevole esempio per chiunque si fissasse a fare e a pensare di tradire, il servo, che gli aveva incriminato, fu liberato e fuggì, ricevendo una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che sarebbe disgustoso per lui se avesse commesso tale reato che la colpa del servo e l'astigazione di Platone lo meritarono ugualmente.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrò le sue forze, dando a lui il potere di re a questa città, dove nacque un servo; a quest'ultimo avvenne per molto tempo che l'impero fu tenuto da parte di Dio."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la sua forza per la proprietà del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Infatti, non sono già due in una sola carne, ma in uno spirito, cioè Dio e l'anima. In un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Perciò, quando l'anima di Pompeo ebbe sentito la chiarezza del lasso, cognì la luce prima di tutto."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Poiché è doloroso udire, quando rifiutano di usare le armi e la fatica, con grande disonore come un pezzo di pecora essere"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E mio nonno ebbe fastidio di udire quelle parole di Cristo.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di quelli che hai visto e esaminato lo studio e poco di fronte a cui ho udito le voci, e le cui mani e lanci posso solo immaginare."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire belle notizie e odorare bei fiori, come, quando e in misura adeguata"
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro il suo albergo, quasi come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io, dove non posso andare con il corpo, volo con la mente."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"E subito dopo, tutta questa folla di uccelli volò dietro all'aquila."
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e sa giudicare tutte le cose.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ora, questo uccello, per la sua grandezza, volava così in alto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e io ho questa proprietà che io vola per l'aria come un uccello""."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando si scrivono in primaria, giurano per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","['perché, secondo il tuo ordine, padre santo Agostino, le battaglie sono già in corso nel mondo']"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Infatti, nella nostra città il nome reale fu sempre santo e glorioso, e così furono compagni il loro nome più santo;"
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu insupervischi il suo santo proposito, e voto la verginità vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino fece un libro intitolato ""Augustino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non si può stringere alla legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbibia: i mercanti fiorentini passavano in barca per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai i segni del cavaliere, non andrai in grandezza cadendo, poiché nelle battaglie i forti sono più utili che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa che è anche più grave, vale a dire essere catturati, o davvero fuggire, e lasciare vincere la sua Comuna."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate bene che se non ci affascinassimo di fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco, un cretense che stava aiutando gli nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i più nobili cavalieri della gente raggiungeva poco di lui."
