Author,Date,Region,Sentence,generated_translation,score_human
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","E d'altra parte, Aiaces era un cavaliere franco e dotato di armi di grande talento, ma non era pieno di grande saggezza.",4
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","e vendichi ogni colpa, come dice la legge, e perdoni nessun cavaliere che commette peccato.",4
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non è stata innamorata di altra forza di animo di Ponzio Aufidiano, cavaliere romano.",2
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo gli piace a tutti e se il tempo gli serve per avere Pompei come cavaliere e non come compagno, non ricorderò più i fatti.",3
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che l'ufficio di questa arte sia dire in modo apposto per far credere, il fine è far credere per dirlo.",3
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco che scorre un gran vento di nebbi risoluti e si potrebbe credere che tutto il Cielo fosse caduto in mare.,4
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma ora, coloro che ancora non credono in Cristo vedono con noi ciò che spero, e perché non possono negarlo, fanno urlo di denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi hanno reso possibile l'inganno di un re feroce.,5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché lui, che ora è feroce e onorevole per le sue grandi ricchezze, è afflitto da ogni male e tormentato dall'impedimento verso mio padre.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Spesso gli uomini che restano fermi nella menzogna incontrano la verità.,5
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riserva attentamente di parlare con l'ultimo.",4
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo fossero fatte in Italia.,5
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortenzio, trascorse la sua vita più bassa e viziosa.",5
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un amante, chiamando grazie a sua moglie, dice molte parole e ragioni, e lei difende la sua opinione.",3
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (cfr. 347) che quando fui infuriato, fui in fuga con mia moglie. Oh, quanti giorni mi ha spinto questa ira!",3
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,colui di cui tu eri solo in pena e che era amante della tua donna;,5
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro della cospirazione, poiché la donna non indicava già i nomi.",5
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo, quando si muove, ti dice: ""O fedele mia donna, fai in modo che il nostro ospite troiano ti consigli in mio luogo"".",5
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu riprese la malvagità di una donna con una simile bugia, contemporaneamente con questo signore della repubblica, in questo modo: ",5
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",E si lamentarono dell'iniquità di Appio e riprenderono la bellezza malventurata della pulcella e la necessità del padre.,5
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In questa battaglia ho sempre avuto l'intenzione di ragionare sulla pace e mi sono sempre detto che non solo la pace era distrutta,",0
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda solitamente, a causa della grande provvidenza, fa paura, e la prima, a causa della sua ardente volontà, rende altri pazzi.",0
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Entrò nel campo dei Cartaginesi e tutta la legione si rassegnò.,0
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Questa è quella che spinse il profeta Natan a conquistare con grande autorità quel re peccatore.,0
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con esse passarono tra i nemici, perciò se qualcuno non aveva questo desiderio e avessero questo animo.",0
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato dolente;,0
