Author,Date,Region,Sentence,generated_translation,score_human
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Aiaces era un cavaliere franco e prode allarma, di gran guisa, ma non era pieno di grande sentimento.",4
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","La legge dice crudele, e di tutte le colpe pigli vendetta, come dice la legge, e a Neuno cavaliere perdoni che pecchi.",4
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non cera altra forza di animo di Ponzio Aufidiano, romano cavaliere.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se ho bisogno di avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Pare che sia dicere appostamente per far credere, fine è far credere per il dire.",3
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Egli ecco e larghi venti piovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo caddesse nel mare; e potresti credere che tutto il cielo caddesse nel mare.,3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però che ora che sperano quello che io credo in Cristo, già veggiono con noi, e perché non possono credere in Cristo, stridono col denti.",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e le presure dei vivi fece la frode di un feroce re.,4
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Acciocché quello che ora è feroce e onorevole, egli è ferito e onorevole da ogni male afflitto e tormento verso il mio padre.",4
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini costretti a stare fermi nella belva incontra la verità.,3
