Author,Date,Region,Sentence,generated_translation,score_human
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu combattuta molto bene perché, eccetto che, etc. E dall'altra parte Aiace era un cavaliere francese e valente in armi, di grande statura, ma non aveva grande saggezza.",0
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele e di tutte le colpe prende vendetta, come dice la legge, e a nessun cavaliere perdona chi pecca.",0
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato di altro coraggio d'animo Ponzio Aufidiano, romano cavaliere.",0
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se ti piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non lo riterrò più tra i fatti.

Explanation:

The text is in the Tuscan dialect of the Italian language, which was used in medieval and Renaissance Italy. The modern Italian equivalent of the Tuscan dialect would be the Italian language as it is spoken today in Italy.

The",0
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che sia l'obiettivo di questa arte dire qualcosa specificatamente per far credere, in realtà si fa credere per la parola detta.",0
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Qui giunge e venti ventipiani cieli sgombrano le nebbie sicure; potresti credere che tutto il cielo cadesse nell'acqua.,0
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi potrebbe sperare ora quello che questi, che ancora non credono in Cristo, non lo vedono già con noi, e perché non possono negarlo, lo stridono con i denti.",0
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La morte dei morti e le pressioni dei vivi fecero la frode di un crudele re.,0
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quello, il quale ora per le sue grandi reazioni è fiero e onorabile, egli sia afflitto e tormentato da ogni male per la sua impietas verso il mio padre.",0
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Spesso gli uomini incontrano la verità mentre stanno fermi in una bugia.,0
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era tra i dieci compagni, si tenne per ultimo a parlare con sguardo attento.",0
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che in Italia si facevano.,0
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Il nipote di Corbio, Ortensio, condusse una vita più bassa e più viziosa.",0
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Inoltre un amante chiamandole grazia alla donna risponde con parole e ragioni tante, e lei si difende nel suo dire.",0
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo che, arrabbiato, la mia donna irritai. Oh, quanti giorni mi tolse quell’ira!",0
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,quell'uomo che ti faceva piangere perché amava la tua donna;,0
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi delle persone della congiura, perché la donna non li nominava ancora.",0
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Sei da Creti? Sì, quando ti muovi, mi dice: ""O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro ospite troiano"".",0
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità di una donna in una simile bugia, in quell'epoca di questo signore della repubblica, in questo modo: 
Note: ""bugia"" significa ""trama"" o ""inganno"" in italiano moderno. ""Ripressa"" significa ""repressa"" o ""soppressa"" in italiano moderno. ""Signore della repubblica",0
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e piagnevano la malaventurata bellezza della ragazzina e la necessità del padre.,0
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, certo io avevo sempre il coraggio di parlare di pace e sempre mi facevo soffrire che non solo la pace era offesa,

Explanation:

The text is in the past tense, so the modern translation should also be in the past tense. The meaning is that the speaker always tried to argue for peace during a battle, but he was frustrated because peace seemed to be disrespected.

The modern translation uses",0
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","la seconda fa spesso temere per la grande importanza, e la prima fa arrabbiare chi la sente.",0
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e la legione lo seguitò.,0
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle riconoscere come nemico. Questa è quella che gli diede coraggio al profeta Natan per riprendere a grande autorità quel re, il quale aveva peccato.",0
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","il nostro arsenale e, insieme, ci transita tra i nemici, per cui, se nessuno avesse il coraggio di questo e ci avessimo questo animo.",0
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Per questo motivo Giobbe è considerato un dolente.,0
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","colui che perdonasse ai cittadini sopra tutti gli altri e a cui potete più sicuramente credere, poi che fu il vostro comandante.",0
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","inutile chiedere chi abbia scritto questo Libro, in modo che si debba ritenere fedelmente che l'Autore sia lo Spirito Santo.",0
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse abitudine, questo sarebbe certo più incredibile: certo è più facile credere quello, se il nostro spirito umano si mette a contatto col divino e il mutevole si mette in comunicazione con l'incommutabile.",0
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ricevessero il pagamento dal camerlingo per la loro dispensa e andassero in seguito alla presenza di monsignor il papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana.,0
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""Signor Achelo, io ti prego di dirmi come hai perso""",0
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Spero di mandare presto a voi Timoteo perché sia in pace di animo mio.,0
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"senza errori, il selvaggio maiale si spinge avanti l'uomo a udire, e il lupo cervo quello a guardare.",0
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"in quell'luogo si inviano lanci, che i cavalleri chiamano testa di maiale.",0
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,metti le tende per i cervi e sa bene dove abbia dimorato il furioso maiale per accerchiarlo.,0
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora ti spaventerai i disidirosi cervi con varie e diverse paure, o il porco cinghiare caggia in terra passato collo spiedo.
Se il testo antico era: ""Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo"", la trad",0
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta il naturale di cose incorporali, che non interconversano con i corpi, come Dio e le cose divine.",0
