Author,Date,Region,Sentence,generated_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","<pad> ['Aiaces era un cavaliere franco e prode all'arma, di grande guisa, ma non era pieno di grande pentimento.']"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","<pad> ['La legge: crudele, e di tutte le colpe pigli vendetta, come dice la legge, e a un cavaliere perdoni che pecchi.']"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","<pad> ['Non fu altra forza di animo romano, romano cavaliere.']"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","<pad> ['Se questo piace a tutti e se l' tempo ha bisogno di avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.']"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","<pad> ['La poesia di questa arte pare che sia dicere appostamente per far credere, fine è far credere per il dire.']"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,<pad> ['E ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare; e potresti credere che tutto il cielo cade nel mare.']
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","<pad> ['Però che io che penso a Cristo, non possono ancora credere in Cristo, già veggiono con noi, e perché non possono ancora credere in Cristo, stridono colli dei piedi.']"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,<pad> ['Il vendetto dei morti e le presure dei vivi fece la frode d'uno feroce re.']
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","<pad> ['Acciocché questo, il quale ora è feroce e onorevole, egli è afflitto da ogni male afflitto e tormentato dalla impietà verso il mio padre.']"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,<pad> ['Gli uomini spesso a stare fermi nella bugia incontrano la verità.']
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","<pad> ['Allora, Marco Cornelio che era dei dieci compagni, studiosamente si riserva di parlare all'ultima ora.']"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,<pad> ['che io sapeva che erano fatte in Italia.']
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"<pad> ['Corbio, figlio di Ortensio, menò la vita più bassa e più viziosa.']"
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","<pad> ['Allora un amante chiamando la sua donna dice parole e ragioni molte, e ella si difende in suo dire.']"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","<pad> ['Io mi ricordo (che. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi colpisce!']"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,<pad> ['Colui del quale tu ti solevi dolere che era amante della tua donna;']
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","<pad> ['Ma non sapevano già le parole di coloro dela congiurazione, ché la donna non nominava già il nome.']"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","<pad> ['O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano.']"
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","<pad> ['A Milano fu ripressa la malvagità di una donna in simile bugìa, nel tempo di questo signore della republica, in questo modo:']"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","<pad> ['E lamentavansi dell'inquità d'Appio, e ripiegnevano la malattie della pulcella e la necessità del padre.']"
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","<pad> ['La quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solo la pace era schifata,']"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","<pad> ['La seconda suole talora per la grande precisione fare timoroso, e la prima per l'ardire rendere altrui matto.']"
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,<pad> ['Andò nel campo dei Cartaginesi e tutta la legione trasse seco.']
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","<pad> ['La quale diede ardire al profeta Natan a riprendere con grande autorità quello re, il quale aveva peccato.']"
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","<pad> ['Il loro animo e l'armi passassero tra i nimici, perché se alcuno non avesse ardire di questo e sì avevano questo animo.']"
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"<pad> ['Infatti, Io è interpretato dolente;']"
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","<pad> ['Egli fu il vostro comandatore, poiché egli fu vostro comandatore; poiché egli fu vostro comandatore.']"
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","<pad> ['Si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fu lo Spirito santo.']"
